timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
360.0,2025-12-01T06:00:00+00:00,LOCO_01,MOVING,track_19,collection1,
420.0,2025-12-01T07:00:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
433.0,2025-12-01T07:13:00+00:00,LOCO_01,MOVING,collection1,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_02,MOVING,track_19,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_03,MOVING,track_19,retrofit1,
495.0,2025-12-01T08:15:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
503.0,2025-12-01T08:23:00+00:00,LOCO_02,MOVING,retrofit1,WS_01,
503.0,2025-12-01T08:23:00+00:00,LOCO_03,MOVING,retrofit1,WS_02,
503.0,2025-12-01T08:23:00+00:00,LOCO_04,MOVING,retrofit1,WS_03,
514.0,2025-12-01T08:34:00+00:00,LOCO_02,MOVING,WS_01,track_19,
514.0,2025-12-01T08:34:00+00:00,LOCO_03,MOVING,WS_02,track_19,
514.0,2025-12-01T08:34:00+00:00,LOCO_04,MOVING,WS_03,track_19,
526.0,2025-12-01T08:46:00+00:00,LOCO_01,MOVING,retrofit1,track_19,
531.0,2025-12-01T08:51:00+00:00,LOCO_01,PARKING,,,
574.5,2025-12-01T09:34:30+00:00,LOCO_02,MOVING,track_19,WS_01,
574.5,2025-12-01T09:34:30+00:00,LOCO_03,MOVING,track_19,WS_02,
574.5,2025-12-01T09:34:30+00:00,LOCO_04,MOVING,track_19,WS_03,
581.5,2025-12-01T09:41:30+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
581.5,2025-12-01T09:41:30+00:00,LOCO_03,MOVING,WS_02,retrofitted1,
581.5,2025-12-01T09:41:30+00:00,LOCO_04,MOVING,WS_03,retrofitted1,
586.5,2025-12-01T09:46:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_03,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
586.5,2025-12-01T09:46:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
586.5,2025-12-01T09:46:30+00:00,LOCO_01,MOVING,track_19,retrofitted1,
595.5,2025-12-01T09:55:30+00:00,LOCO_01,MOVING,retrofitted1,parking10,
648.0,2025-12-01T10:48:00+00:00,LOCO_02,MOVING,track_19,collection1,
661.0,2025-12-01T11:01:00+00:00,LOCO_01,MOVING,parking10,track_19,
708.0,2025-12-01T11:48:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
741.0,2025-12-01T12:21:00+00:00,LOCO_02,MOVING,collection1,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_03,MOVING,track_19,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
803.0,2025-12-01T13:23:00+00:00,LOCO_01,MOVING,track_19,retrofit1,
811.0,2025-12-01T13:31:00+00:00,LOCO_03,MOVING,retrofit1,WS_01,
811.0,2025-12-01T13:31:00+00:00,LOCO_04,MOVING,retrofit1,WS_02,
811.0,2025-12-01T13:31:00+00:00,LOCO_01,MOVING,retrofit1,WS_03,
822.0,2025-12-01T13:42:00+00:00,LOCO_03,MOVING,WS_01,track_19,
822.0,2025-12-01T13:42:00+00:00,LOCO_04,MOVING,WS_02,track_19,
822.0,2025-12-01T13:42:00+00:00,LOCO_01,MOVING,WS_03,track_19,
882.5,2025-12-01T14:42:30+00:00,LOCO_03,MOVING,track_19,WS_01,
882.5,2025-12-01T14:42:30+00:00,LOCO_04,MOVING,track_19,WS_02,
882.5,2025-12-01T14:42:30+00:00,LOCO_01,MOVING,track_19,WS_03,
889.5,2025-12-01T14:49:30+00:00,LOCO_03,MOVING,WS_01,retrofitted1,
889.5,2025-12-01T14:49:30+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
889.5,2025-12-01T14:49:30+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
894.0,2025-12-01T14:54:00+00:00,LOCO_02,MOVING,retrofit1,track_19,
894.5,2025-12-01T14:54:30+00:00,LOCO_03,MOVING,retrofitted1,track_19,
894.5,2025-12-01T14:54:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
894.5,2025-12-01T14:54:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
899.0,2025-12-01T14:59:00+00:00,LOCO_02,PARKING,,,
899.0,2025-12-01T14:59:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
899.0,2025-12-01T14:59:00+00:00,LOCO_02,MOVING,track_19,retrofitted1,
899.5,2025-12-01T14:59:30+00:00,LOCO_03,MOVING,track_19,collection1,
901.5,2025-12-01T15:01:30+00:00,LOCO_04,MOVING,track_19,retrofit1,
901.5,2025-12-01T15:01:30+00:00,LOCO_01,MOVING,track_19,retrofit1,
908.0,2025-12-01T15:08:00+00:00,LOCO_02,MOVING,retrofitted1,parking11,
909.5,2025-12-01T15:09:30+00:00,LOCO_04,MOVING,retrofit1,WS_01,
909.5,2025-12-01T15:09:30+00:00,LOCO_01,MOVING,retrofit1,WS_02,
920.5,2025-12-01T15:20:30+00:00,LOCO_04,MOVING,WS_01,track_19,
920.5,2025-12-01T15:20:30+00:00,LOCO_01,MOVING,WS_02,track_19,
927.5,2025-12-01T15:27:30+00:00,LOCO_04,MOVING,track_19,retrofit1,
935.5,2025-12-01T15:35:30+00:00,LOCO_04,MOVING,retrofit1,WS_03,
936.0,2025-12-01T15:36:00+00:00,LOCO_01,MOVING,track_19,collection2,
946.5,2025-12-01T15:46:30+00:00,LOCO_04,MOVING,WS_03,track_19,
959.5,2025-12-01T15:59:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
973.5,2025-12-01T16:13:30+00:00,LOCO_02,MOVING,parking11,track_19,
981.0,2025-12-01T16:21:00+00:00,LOCO_04,MOVING,track_19,WS_01,
988.0,2025-12-01T16:28:00+00:00,LOCO_04,MOVING,WS_01,retrofitted1,
990.5,2025-12-01T16:30:30+00:00,LOCO_03,MOVING,collection1,retrofit2,
993.0,2025-12-01T16:33:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
996.0,2025-12-01T16:36:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
998.0,2025-12-01T16:38:00+00:00,LOCO_04,MOVING,track_19,WS_02,
1005.0,2025-12-01T16:45:00+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1010.0,2025-12-01T16:50:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1015.0,2025-12-01T16:55:00+00:00,LOCO_01,MOVING,collection2,retrofit1,
1017.0,2025-12-01T16:57:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
1025.0,2025-12-01T17:05:00+00:00,LOCO_04,MOVING,retrofit1,WS_01,
1033.5,2025-12-01T17:13:30+00:00,LOCO_02,MOVING,track_19,WS_03,
1036.0,2025-12-01T17:16:00+00:00,LOCO_04,MOVING,WS_01,track_19,
1040.5,2025-12-01T17:20:30+00:00,LOCO_02,MOVING,WS_03,retrofitted1,
1043.0,2025-12-01T17:23:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
1045.5,2025-12-01T17:25:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1050.5,2025-12-01T17:30:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1050.5,2025-12-01T17:30:30+00:00,LOCO_02,MOVING,track_19,retrofitted1,
1051.0,2025-12-01T17:31:00+00:00,LOCO_04,MOVING,retrofit1,WS_02,
1058.5,2025-12-01T17:38:30+00:00,LOCO_02,MOVING,retrofitted1,parking12,
1062.0,2025-12-01T17:42:00+00:00,LOCO_04,MOVING,WS_02,track_19,
1069.0,2025-12-01T17:49:00+00:00,LOCO_04,MOVING,track_19,retrofit2,
1077.0,2025-12-01T17:57:00+00:00,LOCO_04,MOVING,retrofit2,WS_03,
1088.0,2025-12-01T18:08:00+00:00,LOCO_04,MOVING,WS_03,track_19,
1096.5,2025-12-01T18:16:30+00:00,LOCO_04,MOVING,track_19,WS_01,
1103.5,2025-12-01T18:23:30+00:00,LOCO_04,MOVING,WS_01,retrofitted1,
1108.5,2025-12-01T18:28:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1115.5,2025-12-01T18:35:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1122.0,2025-12-01T18:42:00+00:00,LOCO_02,MOVING,parking12,track_19,
1123.5,2025-12-01T18:43:30+00:00,LOCO_04,MOVING,retrofit2,WS_01,
1126.0,2025-12-01T18:46:00+00:00,LOCO_01,MOVING,retrofit1,track_19,
1131.0,2025-12-01T18:51:00+00:00,LOCO_01,PARKING,,,
1131.0,2025-12-01T18:51:00+00:00,LOCO_01,MOVING,track_19,WS_02,
1134.5,2025-12-01T18:54:30+00:00,LOCO_04,MOVING,WS_01,track_19,
1137.5,2025-12-01T18:57:30+00:00,LOCO_03,MOVING,retrofit2,track_19,
1138.0,2025-12-01T18:58:00+00:00,LOCO_01,MOVING,WS_02,retrofitted1,
1142.5,2025-12-01T19:02:30+00:00,LOCO_03,PARKING,,,
1142.5,2025-12-01T19:02:30+00:00,LOCO_04,MOVING,track_19,collection1,
1143.0,2025-12-01T19:03:00+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1148.5,2025-12-01T19:08:30+00:00,LOCO_01,MOVING,track_19,WS_03,
1150.0,2025-12-01T19:10:00+00:00,LOCO_03,MOVING,track_19,retrofit1,
1155.5,2025-12-01T19:15:30+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
1158.0,2025-12-01T19:18:00+00:00,LOCO_03,MOVING,retrofit1,WS_02,
1160.5,2025-12-01T19:20:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1167.5,2025-12-01T19:27:30+00:00,LOCO_01,MOVING,track_19,retrofit2,
1169.0,2025-12-01T19:29:00+00:00,LOCO_03,MOVING,WS_02,track_19,
1175.5,2025-12-01T19:35:30+00:00,LOCO_01,MOVING,retrofit2,WS_03,
1182.0,2025-12-01T19:42:00+00:00,LOCO_03,ALLOCATED,,,batch_transport
1182.0,2025-12-01T19:42:00+00:00,LOCO_03,MOVING,track_19,retrofitted1,
1186.5,2025-12-01T19:46:30+00:00,LOCO_01,MOVING,WS_03,track_19,
1192.0,2025-12-01T19:52:00+00:00,LOCO_03,MOVING,retrofitted1,parking13,
1195.0,2025-12-01T19:55:00+00:00,LOCO_02,MOVING,track_19,WS_01,
1202.0,2025-12-01T20:02:00+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
1202.5,2025-12-01T20:02:30+00:00,LOCO_04,ALLOCATED,,,batch_transport
1207.0,2025-12-01T20:07:00+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1214.0,2025-12-01T20:14:00+00:00,LOCO_01,MOVING,track_19,retrofit1,
1215.5,2025-12-01T20:15:30+00:00,LOCO_04,MOVING,collection1,retrofit1,
1222.0,2025-12-01T20:22:00+00:00,LOCO_01,MOVING,retrofit1,WS_01,
1224.0,2025-12-01T20:24:00+00:00,LOCO_02,MOVING,track_19,collection2,
1233.0,2025-12-01T20:33:00+00:00,LOCO_01,MOVING,WS_01,track_19,
1238.0,2025-12-01T20:38:00+00:00,LOCO_01,MOVING,track_19,WS_02,
1245.0,2025-12-01T20:45:00+00:00,LOCO_01,MOVING,WS_02,retrofitted1,
1250.0,2025-12-01T20:50:00+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1255.0,2025-12-01T20:55:00+00:00,LOCO_01,MOVING,track_19,WS_03,
1259.5,2025-12-01T20:59:30+00:00,LOCO_03,MOVING,parking13,track_19,
1262.0,2025-12-01T21:02:00+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
1267.0,2025-12-01T21:07:00+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1274.0,2025-12-01T21:14:00+00:00,LOCO_01,MOVING,track_19,retrofit2,
1282.0,2025-12-01T21:22:00+00:00,LOCO_01,MOVING,retrofit2,WS_02,
1284.0,2025-12-01T21:24:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
1293.0,2025-12-01T21:33:00+00:00,LOCO_01,MOVING,WS_02,track_19,
1297.0,2025-12-01T21:37:00+00:00,LOCO_02,MOVING,collection2,retrofit2,
1300.0,2025-12-01T21:40:00+00:00,LOCO_01,MOVING,track_19,retrofit1,
1308.0,2025-12-01T21:48:00+00:00,LOCO_01,MOVING,retrofit1,WS_03,
1308.5,2025-12-01T21:48:30+00:00,LOCO_04,MOVING,retrofit1,track_19,
1313.5,2025-12-01T21:53:30+00:00,LOCO_04,PARKING,,,
1313.5,2025-12-01T21:53:30+00:00,LOCO_04,MOVING,track_19,WS_01,
1319.0,2025-12-01T21:59:00+00:00,LOCO_01,MOVING,WS_03,track_19,
1319.5,2025-12-01T21:59:30+00:00,LOCO_03,MOVING,track_19,collection1,
1320.5,2025-12-01T22:00:30+00:00,LOCO_04,MOVING,WS_01,retrofitted1,
1324.0,2025-12-01T22:04:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1324.0,2025-12-01T22:04:00+00:00,LOCO_01,MOVING,track_19,retrofitted1,
1325.5,2025-12-01T22:05:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1332.5,2025-12-01T22:12:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1333.0,2025-12-01T22:13:00+00:00,LOCO_01,MOVING,retrofitted1,parking14,
1340.5,2025-12-01T22:20:30+00:00,LOCO_04,MOVING,retrofit2,WS_01,
1351.5,2025-12-01T22:31:30+00:00,LOCO_04,MOVING,WS_01,track_19,
1356.5,2025-12-01T22:36:30+00:00,LOCO_04,MOVING,track_19,WS_02,
1363.5,2025-12-01T22:43:30+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1368.5,2025-12-01T22:48:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1375.5,2025-12-01T22:55:30+00:00,LOCO_04,MOVING,track_19,retrofit1,
1379.5,2025-12-01T22:59:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1383.5,2025-12-01T23:03:30+00:00,LOCO_04,MOVING,retrofit1,WS_02,
1390.0,2025-12-01T23:10:00+00:00,LOCO_02,MOVING,retrofit2,track_19,
1392.5,2025-12-01T23:12:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1394.5,2025-12-01T23:14:30+00:00,LOCO_04,MOVING,WS_02,track_19,
1395.0,2025-12-01T23:15:00+00:00,LOCO_02,PARKING,,,
1395.0,2025-12-01T23:15:00+00:00,LOCO_02,MOVING,track_19,WS_03,
1398.5,2025-12-01T23:18:30+00:00,LOCO_01,MOVING,parking14,track_19,
1399.5,2025-12-01T23:19:30+00:00,LOCO_04,MOVING,track_19,collection2,
1402.0,2025-12-01T23:22:00+00:00,LOCO_02,MOVING,WS_03,retrofitted1,
1407.0,2025-12-01T23:27:00+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1412.0,2025-12-01T23:32:00+00:00,LOCO_02,MOVING,track_19,WS_01,
1419.0,2025-12-01T23:39:00+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
1424.0,2025-12-01T23:44:00+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1431.0,2025-12-01T23:51:00+00:00,LOCO_02,MOVING,track_19,retrofit2,
1439.0,2025-12-01T23:59:00+00:00,LOCO_02,MOVING,retrofit2,WS_03,
1450.0,2025-12-02T00:10:00+00:00,LOCO_02,MOVING,WS_03,track_19,
1457.0,2025-12-02T00:17:00+00:00,LOCO_02,MOVING,track_19,retrofit1,
1458.5,2025-12-02T00:18:30+00:00,LOCO_01,MOVING,track_19,WS_02,
1459.5,2025-12-02T00:19:30+00:00,LOCO_04,ALLOCATED,,,batch_transport
1465.0,2025-12-02T00:25:00+00:00,LOCO_02,MOVING,retrofit1,WS_01,
1465.5,2025-12-02T00:25:30+00:00,LOCO_01,MOVING,WS_02,retrofitted1,
1470.5,2025-12-02T00:30:30+00:00,LOCO_04,MOVING,collection2,retrofit2,
1470.5,2025-12-02T00:30:30+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1475.5,2025-12-02T00:35:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
1475.5,2025-12-02T00:35:30+00:00,LOCO_01,MOVING,track_19,retrofitted1,
1476.0,2025-12-02T00:36:00+00:00,LOCO_02,MOVING,WS_01,track_19,
1483.0,2025-12-02T00:43:00+00:00,LOCO_02,MOVING,track_19,retrofit2,
1485.5,2025-12-02T00:45:30+00:00,LOCO_03,MOVING,retrofit1,track_19,
1485.5,2025-12-02T00:45:30+00:00,LOCO_01,MOVING,retrofitted1,parking15,
1490.5,2025-12-02T00:50:30+00:00,LOCO_03,PARKING,,,
1490.5,2025-12-02T00:50:30+00:00,LOCO_03,MOVING,track_19,collection1,
1491.0,2025-12-02T00:51:00+00:00,LOCO_02,MOVING,retrofit2,WS_02,
1502.0,2025-12-02T01:02:00+00:00,LOCO_02,MOVING,WS_02,track_19,
1510.5,2025-12-02T01:10:30+00:00,LOCO_02,MOVING,track_19,WS_03,
1517.5,2025-12-02T01:17:30+00:00,LOCO_02,MOVING,WS_03,retrofitted1,
1522.5,2025-12-02T01:22:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1529.5,2025-12-02T01:29:30+00:00,LOCO_02,MOVING,track_19,retrofit1,
1537.5,2025-12-02T01:37:30+00:00,LOCO_02,MOVING,retrofit1,WS_03,
1548.5,2025-12-02T01:48:30+00:00,LOCO_02,MOVING,WS_03,track_19,
1550.5,2025-12-02T01:50:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1553.0,2025-12-02T01:53:00+00:00,LOCO_01,MOVING,parking15,track_19,
1553.5,2025-12-02T01:53:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1557.5,2025-12-02T01:57:30+00:00,LOCO_04,MOVING,retrofit2,track_19,
1559.5,2025-12-02T01:59:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1560.5,2025-12-02T02:00:30+00:00,LOCO_02,MOVING,WS_01,retrofitted1,
1562.5,2025-12-02T02:02:30+00:00,LOCO_04,PARKING,,,
1562.5,2025-12-02T02:02:30+00:00,LOCO_04,MOVING,track_19,WS_02,
1565.5,2025-12-02T02:05:30+00:00,LOCO_02,MOVING,retrofitted1,track_19,
1569.5,2025-12-02T02:09:30+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1570.5,2025-12-02T02:10:30+00:00,LOCO_02,MOVING,track_19,collection2,
1574.5,2025-12-02T02:14:30+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1581.5,2025-12-02T02:21:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1589.5,2025-12-02T02:29:30+00:00,LOCO_04,MOVING,retrofit2,WS_01,
1600.5,2025-12-02T02:40:30+00:00,LOCO_04,MOVING,WS_01,track_19,
1607.5,2025-12-02T02:47:30+00:00,LOCO_04,MOVING,track_19,retrofit1,
1613.0,2025-12-02T02:53:00+00:00,LOCO_01,MOVING,track_19,WS_03,
1615.5,2025-12-02T02:55:30+00:00,LOCO_04,MOVING,retrofit1,WS_02,
1620.0,2025-12-02T03:00:00+00:00,LOCO_01,MOVING,WS_03,retrofitted1,
1625.0,2025-12-02T03:05:00+00:00,LOCO_01,MOVING,retrofitted1,track_19,
1626.5,2025-12-02T03:06:30+00:00,LOCO_04,MOVING,WS_02,track_19,
1630.0,2025-12-02T03:10:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1630.0,2025-12-02T03:10:00+00:00,LOCO_01,MOVING,track_19,retrofitted1,
1630.5,2025-12-02T03:10:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1633.5,2025-12-02T03:13:30+00:00,LOCO_04,MOVING,track_19,retrofit2,
1639.5,2025-12-02T03:19:30+00:00,LOCO_02,MOVING,collection2,retrofit2,
1640.0,2025-12-02T03:20:00+00:00,LOCO_01,MOVING,retrofitted1,parking10,
1640.5,2025-12-02T03:20:30+00:00,LOCO_03,MOVING,retrofit1,track_19,
1641.5,2025-12-02T03:21:30+00:00,LOCO_04,MOVING,retrofit2,WS_03,
1645.5,2025-12-02T03:25:30+00:00,LOCO_03,PARKING,,,
1645.5,2025-12-02T03:25:30+00:00,LOCO_03,MOVING,track_19,collection1,
1652.5,2025-12-02T03:32:30+00:00,LOCO_04,MOVING,WS_03,track_19,
1661.0,2025-12-02T03:41:00+00:00,LOCO_04,MOVING,track_19,WS_01,
1668.0,2025-12-02T03:48:00+00:00,LOCO_04,MOVING,WS_01,retrofitted1,
1673.0,2025-12-02T03:53:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1680.0,2025-12-02T04:00:00+00:00,LOCO_04,MOVING,track_19,retrofit1,
1688.0,2025-12-02T04:08:00+00:00,LOCO_04,MOVING,retrofit1,WS_01,
1699.0,2025-12-02T04:19:00+00:00,LOCO_04,MOVING,WS_01,track_19,
1704.0,2025-12-02T04:24:00+00:00,LOCO_04,MOVING,track_19,WS_02,
1705.5,2025-12-02T04:25:30+00:00,LOCO_03,ALLOCATED,,,batch_transport
1707.5,2025-12-02T04:27:30+00:00,LOCO_01,MOVING,parking10,track_19,
1711.0,2025-12-02T04:31:00+00:00,LOCO_04,MOVING,WS_02,retrofitted1,
1714.5,2025-12-02T04:34:30+00:00,LOCO_03,MOVING,collection1,retrofit1,
1716.0,2025-12-02T04:36:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1720.5,2025-12-02T04:40:30+00:00,LOCO_02,MOVING,retrofit2,track_19,
1721.0,2025-12-02T04:41:00+00:00,LOCO_04,MOVING,track_19,WS_03,
1725.5,2025-12-02T04:45:30+00:00,LOCO_02,PARKING,,,
1727.5,2025-12-02T04:47:30+00:00,LOCO_02,MOVING,track_19,retrofit2,
1728.0,2025-12-02T04:48:00+00:00,LOCO_04,MOVING,WS_03,retrofitted1,
1733.0,2025-12-02T04:53:00+00:00,LOCO_04,MOVING,retrofitted1,track_19,
1735.5,2025-12-02T04:55:30+00:00,LOCO_02,MOVING,retrofit2,WS_02,
1738.0,2025-12-02T04:58:00+00:00,LOCO_04,MOVING,track_19,collection2,
1746.5,2025-12-02T05:06:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1753.5,2025-12-02T05:13:30+00:00,LOCO_02,MOVING,track_19,retrofit1,
1761.5,2025-12-02T05:21:30+00:00,LOCO_02,MOVING,retrofit1,WS_03,
1767.5,2025-12-02T05:27:30+00:00,LOCO_01,MOVING,track_19,WS_01,
